miRNA_ID,GSM2385148,GSM2385149,GSM2385150,GSM2385151,GSM2385152,GSM2385153,GSM2385154,GSM2385155,GSM2385156,GSM2385157,GSM2385158,GSM2385159,GSM2385160,GSM2385161,GSM2385162,GSM2385163,GSM2385164,GSM2385165,GSM2385166,GSM2385167,GSM2385168,GSM2385169,GSM2385170,GSM2385171,GSM2385172,GSM2385173,GSM2385174,GSM2385175,GSM2385176,GSM2385177,GSM2385178,GSM2385179,GSM2385180,GSM2385181,GSM2385182,GSM2385183,GSM2385184,GSM2385185,GSM2385186,GSM2385187,GSM2385188,GSM2385189,GSM2385190,GSM2385191,GSM2385192,GSM2385193,GSM2385194,GSM2385195,GSM2385196,GSM2385197,GSM2385198,GSM2385199,GSM2385200,GSM2385201,GSM2385202,GSM2385203,GSM2385204,GSM2385205,GSM2385206,GSM2385207
hsa-miR-4536-5p,-4.45,2.586,0.5185000000000001,-1.6195,0.6944999999999999,0.4605,2.301,0.02250000000000002,-1.2854999999999999,-6.246,-0.568,0.5825,-0.9315,0.36850000000000005,0.9890000000000001,0.6955,0.8145,0.5795,-7.964,1.4330000000000003,-0.7484999999999999,-12.4085,0.24549999999999997,-1.0335,10.419,-5.015,0.13949999999999993,-0.6495000000000001,0.27799999999999997,-1.142,-0.9984999999999999,1.7195,-9.8025,0.38049999999999995,-0.0775,-0.4125000000000001,-3.05,1.8114999999999999,1.35,0.38449999999999995,0.05750000000000004,0.7264999999999999,-0.8724999999999999,0.267,1.7645,2.226,0.42300000000000004,-0.12200000000000004,-0.555,1.845,1.013,0.24300000000000005,0.51,1.5215,-0.05199999999999997,0.32849999999999996,0.613,2.4295,0.09799999999999998,0.8985
hsa-miR-4537,-9.227,-2.4234999999999998,-3.7479999999999998,-5.9475,-4.272,-2.2045,-3.9665,-4.4135,-7.047499999999999,-10.754000000000001,-7.0455,-4.601,-6.0045,-2.0629999999999997,-3.8385,-5.139,-6.1325,-5.657,-12.3205,-6.1865000000000006,-5.3805,-15.495500000000002,-5.4375,244.362,-5.0575,-11.173,-7.1455,-6.7765,-5.088,-8.5735,-5.939,-4.396,-8.935500000000001,-6.2005,-5.116,-4.798,-5.365,-2.6165,-4.2700000000000005,-3.97,-5.335,-2.9505,-6.29,-4.6979999999999995,-3.7195,-4.2195,-4.032500000000001,-4.511,-5.4655000000000005,-4.6115,-5.451,-4.5515,-5.428,-3.8695,-9.184999999999999,-6.1435,-4.627,-2.8545000000000003,-6.5005,-5.933
hsa-miR-4538,-4.8134999999999994,-0.5269999999999999,-1.44,-1.4105,1.1270000000000002,7.6375,0.484,-1.7830000000000001,-2.5095,-5.1875,-3.6365000000000003,-0.703,-2.2535,2.325,-1.478,-2.332,-0.22799999999999998,-2.6175,-8.134,-4.3045,-2.552,-11.044,-1.1019999999999999,-3.6799999999999997,-0.20600000000000002,-6.0015,-1.9255,-5.1295,-0.02499999999999991,-7.496,-3.6185,0.657,-5.9945,-0.636,-2.357,-1.052,-3.5685000000000002,-2.3225000000000002,1.231,7.968999999999999,-2.5385,-1.6524999999999999,-2.07,0.48200000000000004,-1.7285,-1.2725,1.4025,-2.277,-5.5885,-1.392,-0.36899999999999994,4.9670000000000005,-2.7755,-2.3805,-0.008999999999999985,-0.7030000000000001,-0.7079999999999999,-1.2115,-0.15149999999999997,-3.317
hsa-miR-4539,-7.670999999999999,0.7225000000000004,-5.3555,-5.4825,-3.7155,5.397499999999999,-3.152,-4.458,-7.6345,-12.262,-8.1045,-5.9475,-6.5735,-2.5940000000000003,-3.2909999999999995,-5.2524999999999995,-6.1645,-5.927,-10.7215,-7.4030000000000005,-4.8895,-16.3355,-5.568,-6.3765,-5.914,-12.1565,-8.312000000000001,-8.9145,-5.364,-8.933,-6.7965,-5.7545,-12.973500000000001,-5.837000000000001,-5.7725,-5.615,-8.4615,-3.657,-2.792,3.6015,-6.4719999999999995,-4.6385,-5.3065,-4.3655,-4.079,-3.7895000000000003,-2.633,-6.0445,-8.089,-5.174,-3.1425,-0.26850000000000007,-5.1685,-6.258,-5.808,-4.7465,-4.8925,-3.675,-3.724,-7.202500000000001
hsa-miR-454-3p,109.34349999999999,85.757,68.506,111.6345,240.30700000000002,568.5785,327.809,235.6075,99.92699999999999,173.702,93.30449999999999,193.048,51.262,149.332,76.489,230.564,86.73400000000001,111.4355,323.4835,101.414,137.957,212.038,398.92199999999997,44.346000000000004,218.62600000000003,101.574,239.40299999999996,50.2275,106.83,38.1555,181.53050000000002,108.90150000000001,68.942,81.304,99.933,393.269,203.2425,371.48850000000004,665.6434999999999,354.988,95.826,51.519499999999994,366.76,233.785,368.3075,201.5135,493.75249999999994,117.247,31.577499999999997,245.34699999999998,280.148,207.9125,56.438,91.163,75.5,205.86700000000002,288.808,64.04650000000001,91.1135,190.267
hsa-miR-454-5p,32.8715,12.2285,11.168,26.866500000000002,10.497,34.697500000000005,23.866999999999997,10.854000000000001,20.052500000000002,28.576,20.2955,28.208999999999996,11.1955,17.849,12.895500000000002,9.587,15.4285,19.089000000000002,29.3495,19.2595,17.299,27.448,27.524,6.980500000000001,26.7765,27.014,16.194,7.340999999999999,15.24,6.522,15.063999999999998,15.0685,20.528,21.022,13.273,25.773000000000003,11.705,14.825,19.663,16.6655,20.891,9.0985,16.373,18.8685,19.148,14.1675,14.85,15.5565,7.406999999999999,25.5775,18.438499999999998,12.6175,10.916,27.028,18.1335,11.323,16.8785,12.620999999999999,10.233500000000001,11.2005
hsa-miR-4540,2.6605,1.1855,-1.5745,1.8515000000000001,-0.3284999999999999,15.071000000000002,-0.3394999999999999,-0.27299999999999996,0.5930000000000001,5.9350000000000005,-1.451,-1.55,-1.093,0.257,-1.454,-0.6054999999999999,0.08150000000000003,0.3525,4.810499999999999,-2.2255,-1.0465,6.257,0.223,-1.254,-0.7429999999999999,5.2204999999999995,0.24950000000000006,0.14349999999999996,1.705,-2.988,-3.07,-0.28049999999999997,8.639999999999999,-1.272,-1.954,-2.113,7.344499999999999,-0.148,-0.263,-0.6185,-1.3735,-1.048,-0.11850000000000001,-1.984,0.5145000000000001,0.387,-0.316,-1.4845,-2.972,-0.857,-0.20549999999999993,0.0064999999999999615,-1.6149999999999998,-1.732,1.7025,-0.518,0.38449999999999995,-0.1519999999999999,1.0619999999999998,-0.08849999999999998
hsa-miR-455-3p,-4.881,-0.5925,-2.8135000000000003,-2.092,-1.544,13.777499999999998,-1.1320000000000001,-2.0495,-1.4545000000000001,-4.595000000000001,-1.6644999999999999,-2.088,-1.262,0.6074999999999998,-2.528,-2.2565,-1.8565,-0.7004999999999999,-6.5265,-2.3674999999999997,-3.3310000000000004,-7.417,-2.4555,-3.3795,-2.631,-3.0375,-3.3649999999999998,-3.7585,-1.176,-5.1385,-4.111,-0.922,-3.186,-3.9125,-2.2060000000000004,-3.2064999999999997,-4.14,-2.4285,-1.1560000000000001,-1.8634999999999997,-3.0755,-2.064,-3.0755,-2.101,-0.3304999999999999,-1.5070000000000001,-1.4885,-2.0294999999999996,-1.7399999999999998,-3.7185,-1.2745,-2.472,-4.006,-2.1765,-1.016,-2.4675,-1.6735,-0.43200000000000005,-2.575,-3.1435
hsa-miR-455-5p,0.42899999999999994,-1.3095,-1.8370000000000002,1.3795,-0.998,8.2305,-1.8350000000000002,-0.742,-0.678,2.995,-1.269,-0.32,-4.1435,1.5599999999999998,-2.237,-1.5425,-0.5835000000000001,-0.6699999999999999,1.6654999999999998,-3.8095,-2.148,3.1075,-1.111,-2.996,5.4835,3.8465000000000003,-2.8200000000000003,-3.101,0.5984999999999999,-5.2855,-2.5655,-1.702,5.362,-2.912,-1.3395,-3.4200000000000004,-0.4845,-2.902,0.396,-2.457,-2.026,-1.7845,-0.27,-2.445,-1.5875,1.2325,-0.466,-2.4,-4.3245,-2.4395,-1.262,-0.6645,-1.1324999999999998,-3.1384999999999996,0.9175000000000001,-2.6255,-2.0825,0.15500000000000003,-0.2804999999999999,-0.9309999999999998
hsa-miR-4632-3p,-0.28900000000000003,-1.014,-3.595,-0.6220000000000001,-3.946,4.8515,-3.2235,-2.77,-1.575,2.45,-5.162000000000001,-2.7155,-4.9815,0.11400000000000006,-2.9165,-4.671,-2.2245,-3.1414999999999997,1.127,-3.8924999999999996,-4.544,3.838,-0.808,-3.9144999999999994,-2.3605,2.5524999999999998,-2.675,-4.8229999999999995,-1.1869999999999998,-5.242,-4.383,-3.3195,6.517,-4.292,-3.6625,-4.1315,-0.8939999999999999,-3.7735,-1.9985,-2.9869999999999997,-3.4564999999999997,-3.2009999999999996,-2.76,-4.178,-3.5185000000000004,-2.088,-2.9265,-3.2685000000000004,-4.5135,-4.6265,-3.935,-4.1305,-3.1875,-3.9965,0.31450000000000006,-4.858,-2.4555,-2.2675,-2.51,-3.5789999999999997
hsa-miR-4632-5p,-1.1915,0.8504999999999999,-0.279,-2.6849999999999996,0.36549999999999994,10.8085,0.9145,-0.16950000000000004,-0.38400000000000006,-4.159000000000001,-2.4135,0.042000000000000016,-3.5149999999999997,2.4959999999999996,-5.515,-3.3495,-2.183,-1.365,-8.1125,-2.6235,-2.3875,-3.6795,-0.663,-3.1595,-0.45299999999999996,-3.285,0.5455,-4.3645000000000005,-1.0239999999999998,-5.0045,-2.8835,-1.242,-4.343999999999999,-1.5865,-1.719,-2.8085,-4.426,-0.31700000000000006,0.9624999999999998,2.8525,-2.754,-2.612,-2.231,-0.15349999999999997,2.083,-0.10700000000000003,1.0355,-0.8575000000000002,-5.0409999999999995,-0.5069999999999999,-0.31750000000000006,-0.302,-3.2060000000000004,-0.8115,-2.647,-0.748,2.17,-0.5265000000000001,-0.7845,-0.7385
hsa-miR-4633-3p,-9.6405,-5.1754999999999995,-4.279999999999999,-5.618,-5.446,-4.0649999999999995,-3.4174999999999995,-4.564,-4.987,-10.0145,-5.692,-4.4505,-5.558,-3.218,-5.104,-5.0685,-4.184,-5.566,-12.1325,-5.804,-5.9879999999999995,-16.2175,-4.566,-4.299,-4.423,-11.206,-7.041500000000001,-5.351,-6.2065,-7.919500000000001,-5.879,-3.9295,-12.1425,-0.014499999999999713,-6.3875,-4.752000000000001,-8.429,-2.928,-1.9555,-4.07,-4.7035,-2.7225,-6.6385000000000005,-3.9539999999999997,-4.057,-2.108,-2.445,-5.0255,-6.846000000000001,-4.3515,-3.2175,-4.205,-5.226,-5.2165,-6.6465000000000005,-6.761,-4.643,-1.968,-5.615,-5.6165
